"team1","name","team2","team3","team4","team5","team6","team7","team8","team9","team10","team11","team12","team13","team14","team15","team16","team17","team18","team19","team20","team21","team22","team23","team24","seed","cost"
"2000","Abilene Chrstn","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000",NA,NA
"2005","Air Force","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005",NA,NA
"2006","Akron","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006",14,2
"2010","Alabama A&M","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010",NA,NA
"333","Alabama","333","333","333","333","333","333","333","333","333","333","333","333","333","333","333","333","333","333","333","333","333","333","333",4,12
"2011","Alabama St","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011",NA,NA
"2016","Alcorn St","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016",NA,NA
"44","American","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44",NA,NA
"2026","App State","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026","2026",NA,NA
"9","Arizona St","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9",NA,NA
"12","Arizona","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12",2,19
"8","Arkansas","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",NA,NA
"2032","Arkansas St","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032","2032",NA,NA
"2029","AR-Pine Bluff","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029","2029",NA,NA
"349","Army","349","349","349","349","349","349","349","349","349","349","349","349","349","349","349","349","349","349","349","349","349","349","349",NA,NA
"2","Auburn","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",4,12
"2046","Austin Peay","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046",NA,NA
"252","BYU","252","252","252","252","252","252","252","252","252","252","252","252","252","252","252","252","252","252","252","252","252","252","252",6,10
"2050","Ball State","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050","2050",NA,NA
"239","Baylor","239","239","239","239","239","239","239","239","239","239","239","239","239","239","239","239","239","239","239","239","239","239","239",3,13
