"","x"
"1","Gonzaga"
"2","Alabama"
"3","Illinois"
"4","Texas"
"5","Creighton"
"6","Baylor"
"7","Ohio State"
"8","Iowa"
"9","Kansas"
"10","Houston"
"11","Oklahoma State"
"12","Arkansas"
"13","Purdue"
"14","Virginia"
"15","Villanova"
"16","Michigan"
"17","West Virginia"
"18","Florida State"
"19","UConn"
"20","USC"
"21","Colorado"
"22","San Diego State"
"23","North Carolina"
"24","Texas Tech"
"25","Tennessee"
"26","Oregon"
"27","Loyola Chicago"
"28","LSU"
"29","Florida"
"30","Wisconsin"
"31","Maryland"
"32","Missouri"
"33","Oklahoma"
"34","BYU"
"35","St. Bonaventure"
"36","Rutgers"
"37","VCU"
"38","Virginia Tech"
"39","Clemson"
"40","UC Santa Barbara"
"41","Georgia Tech"
"42","Utah State"
"43","Syracuse"
"44","Wichita State/Drake"
"45","Michigan State/UCLA"
"46","Ohio"
"47","Georgetown"
"48","Winthrop"
"49","North Texas"
"50","Liberty"
"51","Colgate"
"52","Iona"
"53","Oregon State"
"54","UNC Greensboro"
"55","Cleveland State"
"56","Grand Canyon"
"57","Abil Christian"
"58","Morehead State"
"59","Oral Roberts"
"60","E. Washington"
"61","2250"
"62","333"
"63","356"
"64","251"
"65","156"
"66","239"
"67","194"
"68","2294"
"69","2305"
"70","248"
"71","197"
"72","8"
"73","2509"
"74","258"
"75","222"
"76","130"
"77","277"
"78","52"
"79","41"
"80","30"
"81","38"
"82","21"
"83","153"
"84","2641"
"85","2633"
"86","2483"
"87","2350"
"88","99"
"89","57"
"90","275"
"91","120"
"92","252"
"93","179"
"94","164"
"95","2670"
"96","259"
"97","2540"
"98","59"
"99","328"
"100","183"
"101","195"
"102","46"
"103","2737"
"104","249"
"105","2335"
"106","2142"
"107","314"
"108","204"
"109","2430"
"110","325"
"111","2000"
"112","32"
"113","1"
