"","team_name","team_logo_id"
"1","Wyoming","2751"
"2","Texas Southern","2640"
"3","Wright State","2750"
"4","Rutgers","164"
"5","Colorado State","36"
"6","Providence","2507"
"7","Boise State","68"
"8","Baylor","239"
"9","Tennessee","2633"
"10","Iowa","2294"
"11","Gonzaga","2250"
"12","North Carolina","153"
"13","UConn","41"
"14","Kentucky","96"
"15","Saint Mary's","2608"
"16","San Diego State","21"
"17","Arkansas","8"
"18","Murray State","93"
"19","UCLA","26"
"20","Kansas","2305"
"21","Ohio State","194"
"22","Auburn","2"
"23","Texas Tech","2641"
"24","Purdue","2509"
"25","Villanova","222"
"26","USC","30"
"27","Alabama","333"
"28","Texas","251"
"29","Illinois","356"
"30","Duke","150"
"31","LSU","99"
"32","Arizona","12"
"33","Houston","248"
"34","Michigan State","127"
"35","Wisconsin","275"
"36","Seton Hall","2550"
"37","Indiana","84"
"38","Texas A&M-CC","357"
"39","Bryant","2803"
"40","Notre Dame","87"
"41","Michigan","130"
"42","S Dakota St","2571"
"43","Memphis","235"
"44","Norfolk State","2450"
"45","Longwood","2344"
"46","Richmond","257"
"47","Georgia State","2247"
"48","Marquette","269"
"49","New Mexico St","166"
"50","Saint Peter's","2612"
"51","Creighton","156"
"52","Vermont","261"
"53","San Francisco","2539"
"54","Akron","2006"
"55","Loyola Chicago","2350"
"56","J'Ville St","55"
"57","Montana State","147"
"58","Yale","43"
"59","Delaware","48"
"60","Miami","2390"
"61","Virginia Tech","259"
"62","Chattanooga","236"
"63","CSU Fullerton","2239"
"64","Iowa State","66"
"65","UAB","5"
"66","Davidson","2166"
"67","Colgate","2142"
"68","TCU","2628"
