"","team_name","team_logo_id"
"1","Alabama","333"
"2","UCF","2116"
"3","Tennessee","2633"
"4","UConn","41"
"5","Auburn","2"
"6","Providence","2507"
"7","Michigan","130"
"8","Washington St","265"
"9","USC","30"
"10","FAU","2226"
"11","New Mexico","167"
"12","Oklahoma","201"
"13","Houston","248"
"14","Kansas St","2306"
"15","Washington","264"
"16","Virginia","258"
"17","Kentucky","96"
"18","Mississippi St","344"
"19","Missouri","142"
"20","Creighton","156"
"21","Portland","2501"
"22","West Virginia","277"
"23","DePaul","305"
"24","Baylor","239"
"25","Charleston","232"
"26","Pitt","221"
"27","BYU","252"
"28","Florida St","52"
"29","Purdue","2509"
"30","Villanova","222"
"31","Syracuse","183"
"32","Texas","251"
"33","Texas Tech","2641"
"34","Kansas","2305"
"35","TCU","2628"
"36","Boston College","103"
"37","Maryland","120"
"38","Nevada","2440"
"39","Miami","2390"
"40","Florida","57"
"41","Marquette","269"
"42","Xavier","2752"
"43","Wichita St","2724"
"44","Arizona","12"
"45","UCLA","26"
"46","Gonzaga","2250"
"47","Saint Mary's","2608"
"48","UAB","5"
"49","San Diego St","21"
"50","Indiana","84"
"51","LSU","99"
"52","Virginia Tech","259"
"53","Iowa State","66"
"54","Oklahoma St","197"
"55","Charlotte","2429"
"56","Clemson","228"
"57","Georgetown","46"
"58","Temple","218"
"59","Georgia","61"
"60","Texas A&M","245"
"61","Butler","2086"
"62","MTSU","2393"
"63","Air Force","2005"
"64","Cincinnati","2132"
"65","Arkansas","8"
"66","Hofstra","2275"
"67","Western KY","98"
"68","Michigan St","127"
"69","Vanderbilt","238"
"70","Penn State","213"
"71","Oregon","2483"
"72","Santa Clara","2541"
"73","San Francisco","2539"
"74","Boise St","68"
"75","Oregon St","204"
"76","St John's","2599"
